date,temp_min,temp_max,temp_mean,temp_quick_change,wind_min,wind_max,wind_mean,wind_quick_change,pressure_min,pressure_max,pressure_mean,pressure_quick_change,sun_irr_min,sun_irr_max,sun_irr_mean,sun_time_min,sun_time_max,sun_time_mean,sun_irr_quick_change,sun_time_quick_change,precip_min,precip_max,precip_mean,precip_total,precipitation_quick_change,cloud_min,cloud_max,cloud_mean,cloud_quick_change
1939-01-01,,,,,0.0,4.5,1.625,False,,,,,,,,,,,,,,,,,,,,,
1939-01-02,,,,,1.0,4.5,2.25,False,,,,,,,,,,,,,,,,,,,,,
1939-01-03,,,,,2.5,6.5,4.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-04,,,,,0.0,2.5,1.125,False,,,,,,,,,,,,,,,,,,,,,
1939-01-05,,,,,1.0,4.5,2.625,False,,,,,,,,,,,,,,,,,,,,,
1939-01-06,,,,,0.0,2.5,1.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-07,,,,,1.0,2.5,1.75,False,,,,,,,,,,,,,,,,,,,,,
1939-01-08,,,,,0.0,4.5,2.25,True,,,,,,,,,,,,,,,,,,,,,
1939-01-09,,,,,4.5,6.5,5.0,False,,,,,,,,,,,,,,,,,,,,,
1939-01-10,,,,,2.5,6.5,5.5,True,,,,,,,,,,,,,,,,,,,,,
1939-01-11,,,,,4.5,4.5,4.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-12,,,,,2.5,4.5,4.0,False,,,,,,,,,,,,,,,,,,,,,
1939-01-13,,,,,2.5,6.5,4.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-14,,,,,2.5,2.5,2.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-15,,,,,0.0,4.5,3.375,True,,,,,,,,,,,,,,,,,,,,,
1939-01-16,,,,,1.0,9.0,5.25,True,,,,,,,,,,,,,,,,,,,,,
1939-01-17,,,,,2.5,9.0,6.125,True,,,,,,,,,,,,,,,,,,,,,
1939-01-18,,,,,1.0,4.5,2.625,True,,,,,,,,,,,,,,,,,,,,,
1939-01-19,,,,,0.0,1.0,0.25,False,,,,,,,,,,,,,,,,,,,,,
1939-01-20,,,,,0.0,6.5,2.75,True,,,,,,,,,,,,,,,,,,,,,
1939-01-21,,,,,4.5,4.5,4.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-22,,,,,2.5,6.5,4.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-23,,,,,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,
1939-01-24,,,,,0.0,2.5,1.125,False,,,,,,,,,,,,,,,,,,,,,
1939-01-25,,,,,1.0,4.5,3.625,False,,,,,,,,,,,,,,,,,,,,,
1939-01-26,,,,,2.5,4.5,4.0,False,,,,,,,,,,,,,,,,,,,,,
1939-01-27,,,,,2.5,4.5,3.5,False,,,,,,,,,,,,,,,,,,,,,
1939-01-28,,,,,1.0,4.5,2.625,False,,,,,,,,,,,,,,,,,,,,,
1939-01-29,,,,,2.5,4.5,4.0,False,,,,,,,,,,,,,,,,,,,,,
1939-01-30,,,,,0.0,4.5,2.875,True,,,,,,,,,,,,,,,,,,,,,
1939-01-31,,,,,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,
1939-02-01,,,,,1.0,6.5,4.125,False,,,,,,,,,,,,,,,,,,,,,
1939-02-02,,,,,1.0,2.5,1.75,False,,,,,,,,,,,,,,,,,,,,,
1939-02-03,,,,,1.0,4.5,3.125,False,,,,,,,,,,,,,,,,,,,,,
1939-02-04,,,,,1.0,4.5,3.125,False,,,,,,,,,,,,,,,,,,,,,
